中文名,性别,国籍,出生日期,身高,体重,项目,省份
安-弗雷泽 ,女,牙买加,1991年11月27日,160厘米,52kg,田径,
安吉尔·麦克康特利 ,女,美国,1991年9月10日,185cm,73kg,篮球,
晓小琳 ,女,中国,1994年9月18日,,,足球,辽宁
阿莱克斯?加西亚 ,男,巴西,1985年3月4日,191厘米,89kg,篮球,
保罗·乔治 ,男,美国,1995年5月2日,203厘米,95kg,篮球,
米西·富兰克林 ,女,美国,2000年5月10日,1.88米,75kg,游泳,
李胜珍 ,女,韩国,1990年3月7日,165 厘米,60kg,射箭,
马小涛 ,男,中国,1993年10月20日,175cm,72kg,乒乓球,辽宁
拉尔斯-本德 ,男,德国,1994年4月27日,184cm,77kg,男子足球,
木村纱织 ,女,日本,1991年8月19日,185厘米,65kg,排球,
赵小军 ,男,中国,1989年7月27日,172厘米,77kg,举重,湖北
米歇尔·普罗菲 ,女,加拿大,1997年9月15日,191厘米,82kg,篮球,
林小妤 ,女,中国,2001年2月25日,,,高尔夫,广东
米兰达·阿伊木 ,女,加拿大,1993年5月6日,183厘米,78kg,篮球,
李小桐 ,男,中国,2000年8月3日,183厘米,75kg,高尔夫,湖南
毛小艺 ,女,中国,2004年9月,,,体操,辽宁
李龙大 ,男,韩国,1986年3月8日,178厘米,65kg,羽毛球,
苗小甜 ,女,中国,1998年1月18日,,,赛艇,河北
李小晴 ,女,中国,1997年11月,,,乒乓球,广东
马克·加索尔 ,男,西班牙,1990年1月29日,216cm,120kg,篮球,
马赛林霍?胡尔塔斯 ,男,巴西,1988年5月25日,190厘米,85kg,篮球,
马小旭 ,女,中国,1993年6月5日,,,足球,辽宁
马小楠 ,女,中国,1989年,,,柔道,辽宁
马小青 ,女,中国,1997年8月24日,,,皮划艇静水,山东
马小飞 ,男,中国,1989年7月29日,186厘米,77kg,击剑,广东
玛蒂娜·辛吉斯 ,女,瑞士,1985年9月30日,170cm,,网球,
马修·埃蒙斯 ,男,美国,1986年4月5日,178厘米,80kg,射击,
马思莱尼科夫 ,男,俄罗斯,1999年8月17日,168厘米,67kg,射击男子气步枪,
米尔扎 ,女,印度,1991年11月15日,173cm,57kg,网球,
内内?希拉里奥 ,男,巴西,1987年9月13日,211厘米,113kg,篮球,
马金尼奥斯 ,男,巴西,1999年5月14日,183cm,80kg,男子足球,
马修·德拉夫多瓦 ,男,澳大利亚,1995年9月8日,193厘米,86kg,篮球,
尼古拉斯·巴图姆 ,男,法国,1993年12月14日,203厘米,90kg,篮球,
毛小廉 ,男,中国,1998年,,,游泳,浙江
马努·吉诺比利 ,男,阿根廷,1982年7月28日,198厘米,93kg,篮球,
诺瓦克·德约科维奇 ,男,塞尔维亚,1992年5月22日,187厘米,80kg,网球,
迈尔 ,男,德国,2000年9月18日,173cm,69kg,男子足球,
