震级,发震时刻,纬度,经度,深度,参考位置,地址链接
3.3,2025-04-13 23:17:05,31.18,93.51,10,西藏那曲市比如县,https://news.ceic.ac.cn/CD20250413231706.html
3.8,2025-04-13 21:45:55,31.15,93.53,10,西藏那曲市比如县,https://news.ceic.ac.cn/CD20250413214556.html
3.1,2025-04-12 16:34:02,29.64,104.80,8,四川内江市资中县,https://news.ceic.ac.cn/CC20250412163402.html
3.9,2025-04-11 17:57:25,28.44,87.46,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CC20250411175726.html
4.1,2025-04-11 07:59:19,23.98,122.59,15,台湾花莲县海域,https://news.ceic.ac.cn/CD20250411075920.html
3.1,2025-04-10 13:12:33,28.67,86.62,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250410131233.html
4.6,2025-04-09 09:53:27,24.67,121.66,33,台湾宜兰县,https://news.ceic.ac.cn/CD20250409095328.html
2.4,2025-04-07 10:04:57,30.08,103.10,25,四川雅安市名山区(有感),https://news.ceic.ac.cn/CD20250407100457.html
3.2,2025-04-05 07:38:12,28.91,87.51,10,西藏日喀则市拉孜县,https://news.ceic.ac.cn/CC20250405073812.html
4.2,2025-04-03 11:46:58,23.28,120.27,20,台湾台南市,https://news.ceic.ac.cn/CC20250403114659.html
3.1,2025-04-03 11:28:00,32.94,100.00,10,四川甘孜州色达县,https://news.ceic.ac.cn/CD20250403112801.html
3.7,2025-04-02 08:19:19,28.28,87.32,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250402081920.html
3.2,2025-04-02 08:11:13,28.29,87.33,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250402081114.html
3.8,2025-03-31 05:44:09,29.97,90.21,30,西藏拉萨市当雄县,https://news.ceic.ac.cn/CC20250331054410.html
3.1,2025-03-28 19:56:37,34.75,87.78,10,西藏那曲市双湖县,https://news.ceic.ac.cn/CD20250328195637.html
3.4,2025-03-26 20:42:11,28.74,86.68,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250326204211.html
3.0,2025-03-26 14:09:09,28.41,87.53,10,西藏日喀则市定日县,https://news.ceic.ac.cn/CD20250326140909.html
4.2,2025-03-25 09:40:48,23.96,121.67,30,台湾花莲县海域,https://news.ceic.ac.cn/CD20250325094049.html
