参数1_文本,参数2_文本,参数3_文本,参数4_文本,参数5_文本,参数6_文本,书名,章节名称
,,,,,,万仙来朝,第1章 灵堂还魂
陆家，灵堂。,150,,,,,万仙来朝,第1章 灵堂还魂
一口棺材内。,25,,,,,万仙来朝,第1章 灵堂还魂
陆夜胸腔急剧起伏，身体慢慢有了知觉，意识到自己的神魂已经从域外战场离开，重返肉身。,5,,,,,万仙来朝,第1章 灵堂还魂
“各位前辈，所有殒命战场的同袍，我陆夜必会再去域外战场走一遭！”,2,,,,,万仙来朝,第1章 灵堂还魂
“到那时，我必倾尽所有，挽天倾、补天裂！带你们的英魂回家！”,6,,,,,万仙来朝,第1章 灵堂还魂
,,“另外……”,,,,万仙来朝,第1章 灵堂还魂
陆夜眼眸深处恨意汹涌，“我还要跟那些封死退路，抛弃我们的杂碎，讨一个说法！”,1,,,,,万仙来朝,第1章 灵堂还魂
在他右手掌心纹路中，悄然浮现一幅神秘图案。,1,,,,,万仙来朝,第1章 灵堂还魂
一把道剑虚影，镇压在九座混沌牢狱之上！,2,,,,,万仙来朝,第1章 灵堂还魂
这是陆夜身上最大的秘密，被称作“九狱剑图”。,8,,,,,万仙来朝,第1章 灵堂还魂
三年前，他就是因为九狱剑图，以神魂的方式进入域外战场。,1,,,,,万仙来朝,第1章 灵堂还魂
这是一段不可思议的经历。,1,,,,,万仙来朝,第1章 灵堂还魂
,,此刻想起，犹似在做梦。,,,,万仙来朝,第1章 灵堂还魂
“还好，那些祖师遗物、嘱托以及我的身份铭牌都还在，绝不是做梦！”,1,,,,,万仙来朝,第1章 灵堂还魂
,,陆夜心中喃喃。,,,,万仙来朝,第1章 灵堂还魂
,,在他神魂中，一块陈旧铭牌浮现。,,,,万仙来朝,第1章 灵堂还魂
姓名：陆夜。,5,,,,,万仙来朝,第1章 灵堂还魂
年龄：十四。,1,,,,,万仙来朝,第1章 灵堂还魂
身份：天河郡陆氏宗族嫡系后裔。,2,,,,,万仙来朝,第1章 灵堂还魂
修为：修行第一境，引灵境。,4,,,,,万仙来朝,第1章 灵堂还魂
担任职务：斥候！,5,,,,,万仙来朝,第1章 灵堂还魂
