参数1_文本,书名,章节名称
那处可怕的怪异，绝对没有真的结束。,人间有剑,第一章 周迟
那处可怕的怪异，绝对没有真的结束。,人间有剑,第二章 出剑
“有些问题，需要有人告诉我。”,人间有剑,第二章 出剑
大殿外，周迟看着那三角眼和矮胖道人。,人间有剑,第二章 出剑
有人跪着，有人趴着。,人间有剑,第二章 出剑
“圣灵山上一共多少修士，如今那位山主灵霄上人是什么境界？”,人间有剑,第二章 出剑
趴着的矮胖道人，脸上的肥肉挤出一个极为痛苦的表情，心如死灰。,人间有剑,第二章 出剑
跪着的三角眼道人也哭丧着脸，“仙师，我们真是才上山的，哪里能知道这些？我们只配烧火啊！”,人间有剑,第二章 出剑
周迟摇头道：“不像。”,人间有剑,第二章 出剑
听着这话，矮胖道人呜呜哭了起来，“我们是生得不好看，但我们胆子也小啊……”,人间有剑,第二章 出剑
“我们也是苦命人啊！”,人间有剑,第二章 出剑
三角眼道人惊恐地赶紧捂住自己这个师弟的嘴，生怕这个憨货说些话惹怒了眼前那个杀神，等会儿赏他们一剑，那就啥都没意义了。,人间有剑,第二章 出剑
周迟懒得说话，只是捏碎了掌心那枚黑色符箓，一道黑烟瞬间从他掌心掠出，撞向远处山峰。,人间有剑,第二章 出剑
很显然，这枚黑色符箓是传讯手段，如今符箓碎裂，想来整座圣灵山都会知道这边的情况了。,人间有剑,第二章 出剑
果不其然，片刻之后，无数道黑烟从远处的山峰弥漫而来，半边天空，此刻都尽数黑了。,人间有剑,第二章 出剑
“要天黑了！”,人间有剑,第二章 出剑
矮胖道人仰起头，吃惊开口。,人间有剑,第二章 出剑
三角眼道人咬牙道：“你闭嘴！”,人间有剑,第二章 出剑
周迟看着那片黑烟，面无表情。,人间有剑,第二章 出剑
“急什么，先死后死，不都是死吗？”,人间有剑,第二章 出剑
……,人间有剑,第二章 出剑
圣灵山，聚骨峰。,人间有剑,第二章 出剑
最顶峰的一座骨窟之中，邪气环绕，不断生灭。,人间有剑,第二章 出剑
整座骨窟都是用白骨搭建，顶部则是铺满了头骨，惨白的头骨对着地面，只看一眼都极为骇人。,人间有剑,第二章 出剑
角落里悬挂一盏骨灯，整盏骨灯都是以一人的头骨做成，幽绿的灯火在头骨内部摇晃，往外散发着邪气。,人间有剑,第二章 出剑
这幅景象，虽然和那大殿里的壁画内容不同，但整体却感觉异曲同工，没有太大的区别。,人间有剑,第二章 出剑
除此之外，整个洞窟之中，凄厉的喊叫声不绝。,人间有剑,第二章 出剑
重重鬼影，若隐若现，在骨窟里上下游动。,人间有剑,第二章 出剑
一个枯瘦道人盘坐在骨窟正中央的蒲团上，披着一件绣满古怪符文的灰色道袍，口鼻之间不断有黑色的邪气被他吞吐不停。,人间有剑,第二章 出剑
这便是山主灵霄上人。,人间有剑,第二章 出剑
但下一刻，骨窟前方，响起些脚步声，这动静一下子便将潜心修行的灵霄上人惊醒，他猛地睁开眼睛，露出一双幽绿的双眸。,人间有剑,第二章 出剑
眼前不知何时出现了一个布衣少年，提着一柄铁剑，那柄剑上还有鲜血不断滚落，落在地面，滴滴答答。,人间有剑,第二章 出剑
“你是谁？！”,人间有剑,第二章 出剑
灵霄上人冷着脸，眼眸深处出现一抹惊疑，没有想到居然会在自己的洞府前见到一个剑修。,人间有剑,第二章 出剑
“祁山内门大师兄，玄照。”,人间有剑,第二章 出剑
“奉师门律房之命，调查圣灵山屠戮百姓以供修行之事。”,人间有剑,第二章 出剑
周迟看着他，倒是没有隐瞒自己的来路。,人间有剑,第二章 出剑
“祁山？！”,人间有剑,第二章 出剑
灵霄上人脸色变得极为难看，这座东洲的剑道宗门，他自然知晓。,人间有剑,第二章 出剑
论起宗门底蕴，十个圣灵宗，也不见得是一个祁山的对手。,人间有剑,第二章 出剑
“不对，祁山远在泗水，怎么会派人来泾州？！”,人间有剑,第二章 出剑
灵霄上人当初之所以选择在泾州落脚立宗，就是因为在东洲，泾州道这边最为混乱，并无什么实力强劲的宗门，可如今眼前人居然说他出自祁山，要知道祁山离着圣灵山，至少万里，这里也不是祁山的势力范围！,人间有剑,第二章 出剑
周迟皱了皱眉，接到任务的时候，他也有所疑惑，只是既然圣灵山是做的残害百姓的邪道勾当，那他便没有理由拒绝前来。,人间有剑,第二章 出剑
“我不知道，但……你该死了。”,人间有剑,第二章 出剑
周迟抖了抖手中的剑，看了一眼眼前的骨窟，这不知道要死多少人，才能建造出这么一座骨窟来。,人间有剑,第二章 出剑
灵霄上人早在发出疑问的同时，便已经出手，大片黑气从他的身体里溢出，只在刹那之间便已经将整个洞窟填满。,人间有剑,第二章 出剑
“花里胡哨。”,人间有剑,第二章 出剑
随着这四个字被周迟从嘴里吐出来，一道耀眼的剑光瞬间出现，在天地之间瞬间横切而去，拉出了一条璀璨白线，那些黑气，遇到这一条白线之时，纷纷破碎，硬生生被周迟这一剑，横切成两半。,人间有剑,第二章 出剑
“啊，你竟然是天门境？！”,人间有剑,第二章 出剑
灵霄上人嘴里发出一阵痛呼，然后整个人重重砸在身后的骨壁之上，同时嘴里喷出一大口黑血。,人间有剑,第二章 出剑
周迟没搭话往前一步，进入骨窟，再次递剑。,人间有剑,第二章 出剑
趁他病，要他命。,人间有剑,第二章 出剑
一道剑光，再次浮现，照亮整座骨窟。,人间有剑,第二章 出剑
灵霄上人怒吼一声，一掌拍动那盏骨灯，顿时间有无数的黑色鬼影从那骨灯里撞出，重重叠叠，发出一阵惨厉的叫声，朝着周迟杀去。,人间有剑,第二章 出剑
那骨灯是他祭炼多年的秘宝，不知道因此屠戮了多少无辜的百姓，威力不小。,人间有剑,第二章 出剑
但下一刻，那些鬼影在那道剑光之下，纷纷抱头鼠窜，竟然不能相持片刻。,人间有剑,第二章 出剑
那一剑便撕开了一切，一路往前，斩开了那盏骨灯。,人间有剑,第二章 出剑
“不要杀我，我山中有许多宝物，我都给你！都给你！”,人间有剑,第二章 出剑
灵霄真人大声喊叫，此刻他知道自己命悬一线，想要求得一线生机。,人间有剑,第二章 出剑
但周迟的剑却没有任何停滞，一掠而过，直接便斩碎了他所有的生机。,人间有剑,第二章 出剑
“瞎说什么，杀了你，那些东西也是我的。”,人间有剑,第二章 出剑
周迟看了一眼。,人间有剑,第二章 出剑
片刻后，骨窟邪气消散，只余白骨。,人间有剑,第二章 出剑
回到那座大殿前，寻了个稍微干净些地方，周迟从怀里掏出一本羊皮册子。,人间有剑,第二章 出剑
册子寻常，大概是因为经常拿出来看的缘故，封面已经有些包浆。,人间有剑,第二章 出剑
翻开册子，找到写了圣灵山的那一页。,人间有剑,第二章 出剑
周迟用笔将这三个字划掉。,人间有剑,第二章 出剑
随即他从册子里抽出一张纸，看了起来。,人间有剑,第二章 出剑
“玄照，此次探查一事，不可自作主张，一切按预定计划行事，任何动向，第一时间传讯宗门……”,人间有剑,第二章 出剑
“若再犯此前事端，刑堂将从重处罚！”,人间有剑,第二章 出剑
周迟面无表情地将纸张撕成一条又一条，然后丢入风里，正要收起册子，又注意到册子里还有一张纸条。,人间有剑,第二章 出剑
抽出来一看，上面是歪歪扭扭的一行字。,人间有剑,第二章 出剑
“周迟，上次我跟你说的那件事，你千万别告诉别人，宗主好像并不打算公开……”,人间有剑,第二章 出剑
“还有，你别再乱来了，再乱来你的内门大师兄之位就不保了，你要是当不成大师兄，还怎么罩着我？”,人间有剑,第二章 出剑
“还有，你别再乱来了，再乱来你的内门大师兄之位就不保了，你要是当不成大师兄，还怎么罩着我？”,人间有剑,第三章 祁山余孽
是夜，圣灵山外，三十里。,人间有剑,第三章 祁山余孽
……,人间有剑,第三章 祁山余孽
“好些年没来东洲了，没想到东洲的修士这般弱了。”,人间有剑,第三章 祁山余孽
“的确是差一个能够镇压一洲的大才，不过这等人物的确不好找。”,人间有剑,第三章 祁山余孽
“说不定什么时候东洲能再出个了不起的天才呢？又不是没有先例。”,人间有剑,第三章 祁山余孽
“那位……”,人间有剑,第三章 祁山余孽
“慎言！”,人间有剑,第三章 祁山余孽
随着交谈声戛然而止，月光下，一行数人，来到了一座破败野庙前。,人间有剑,第三章 祁山余孽
野庙不大，院墙塌了一半，上面爬满了青藤，只是这个时节，青藤叶片上没什么光泽。,人间有剑,第三章 祁山余孽
院门四周的黄漆，掉落大半，露出了里面的泥胚。,人间有剑,第三章 祁山余孽
上方的寺名，也早不可见。,人间有剑,第三章 祁山余孽
隐约可见里面的庭院，杂草丛生，有些枯败。,人间有剑,第三章 祁山余孽
众人为首的是一个瘦弱的中年男人，穿了一身灰色长袍，面白无须，生了一双柳叶眼，他低头看了一眼脚下有些枯黄的青苔的石阶，然后才转头看了一眼身后的年轻人们，“有些话，就算是离了中州，也不能乱说。”,人间有剑,第三章 祁山余孽
年轻人们被他的目光扫过，纷纷低下头来，不敢对视，但还是很快纷纷开口道：“赵师叔，我等知错了。”,人间有剑,第三章 祁山余孽
听着这话，中年男人才点点头，率先走上石阶，进入庙门，走入庭院里。,人间有剑,第三章 祁山余孽
