参数1_文本,书名,章节名称
“这样也好，一家子都住进天道武馆，就可以天天见面，无需等待假期了。”,大雪满龙刀,0001、红月之下的少年
“这样也好，一家子都住进天道武馆，就可以天天见面，无需等待假期了。”,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
地上，密密麻麻地堆积了近百具被撕碎的尸体。有男有女，白发耄耋，垂髻稚童……,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
所有尸体的血肉似是被野兽利齿撕咬啃食，残缺不全，森森白骨裸露在外。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
穿越到这个混乱的世界以来，李七玄不是没见过死人场面。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
但像是眼前这种惨烈到了极点的景象，却还是第一次见到。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
他深深震惊，继而愤怒。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
从种种痕迹判断，凶手应该是某种可怕的妖鬼。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
李七玄连续深呼吸，竭力平复情绪。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
他突然觉得，这些日子自己杀尸鬼，还是杀太少了。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
李六月安静地站着。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
那双清澈美丽的桃花眸里，突然有一团墨色渲染开来，占据了整个眼球，让她眼眶变得如黑暗星空般诡异深邃。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
但又迅速恢复正常。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
“小七，我饿了。”,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
李六月肚子咕咕咕叫起来。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
“好哦，六姐，等我做饭。”,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
李七玄回过神来。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
他长长吐出一口浊气，平复心情，忙碌了起来。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
用了一刻钟时间，李七玄在村里寻到一块腊肉和小半盆陈米。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
然后以砖石垒灶，架起自带的一口大黑锅。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
生火，化开雪水。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
煮粥、煮肉。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
李六月安安静静坐在一边。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
她从巨大包裹里拿出一块块碎布片。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
那是她很早之前捡破烂搜集的，已经浆洗的干干净净，鼓鼓囊囊装了一大包。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
此时借着雪季不算温暖的阳光，少女开始拼凑缝制衣服。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
“六姐，你做那么多衣服干嘛？”,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
“给你穿啊。”,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
“都已经几十套了，够了。”,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
“不够，多做几件，你以后穿。”,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
“以后再做嘛。”,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
“那万一……”,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
阳光下，少女缓缓抬头：“万一以后我不在了呢。”,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
她微笑着看过来。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
金色的阳光照在白皙如玉的肌肤上，纤细的绒毛闪烁着微光。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
美丽的桃花眸清澈单纯，有着说不尽的温柔和不舍。李七玄心弦一颤。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
猛然低下头。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
他有点儿不敢与李六月目光对视。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
刚穿越来时那几日，这具身体处于持续高烧状态，躺在床上连手指头都不能动一下，只能绝望等死。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
当时，是智商只有七岁的李六月，一边抹着眼泪哭，一边挨家挨户乞讨，求来剩饭汤水，一小勺一小勺地喂他。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
硬生生把李七玄从鬼门关上抢了回来。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
半年来，李七玄与这个傻丫头相依为命。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
血脉的羁绊，情感的交织。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
对于李七玄来说，李六月早就已经是他在这个冰冷残酷的陌生世界里唯一的亲人。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
无论如何，他都必须带李六月抵达听雪城，找到二阶祭医把她救活。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
饭还没熟。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
李七玄看了看周围的尸体，决定做点什么。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
他在废墟里找到锄头，在空地上挖了起来。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
寒冰冻土坚如铁，挖得很慢。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
李七玄很快就挥汗如雨。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
“小七，我来帮你。”,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
李六月见状，放下碎布，拿起锄头抢着干活，挥出了残影，咣咣咣开凿。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
一时间土屑乱飞。,大雪满龙刀,0002、人鬼不分，那就杀穿这世道
