参数1_文本,书名,章节名称
吴观主认真说道：“可惜就可惜在，他不是我白鹤观的弟子。”,天下长宁,楔子
吴观主认真说道：“可惜就可惜在，他不是我白鹤观的弟子。”,天下长宁,请假一阵子
胰腺炎，说是中度危险的那种，要住院啦,天下长宁,请假一阵子
胰腺炎，说是中度危险的那种，要住院啦,天下长宁,第一章山里有座泥菩萨
总有些地方偏僻到连战争都波及不到，所以注定了和锦绣繁华无关。,天下长宁,第一章山里有座泥菩萨
大慈悲山和小慈悲山中间有一条大概七八里宽的豁子，都说这是一道神仙也过不去的天堑。,天下长宁,第一章山里有座泥菩萨
天堑这头是中原，那头是渤海国，这里过不去但五十里外的边关原来能去渤海，可是不久前东韩兵马已经夺取渤海城关截断与中原往来。,天下长宁,第一章山里有座泥菩萨
一辆马车在十二匹雄俊战马的护卫下在大慈悲山的这边停下，车夫下车的时候往四周仔细看了看才打开车门。,天下长宁,第一章山里有座泥菩萨
马车看起来寻常无奇，可留在雪地上深深的车辙印却足以说明这辆马车堪比移动的堡垒。,天下长宁,第一章山里有座泥菩萨
那十二名骑士看起来都高大雄壮，他们身上弓，弩，短刀长刀齐全，所以冷傲，强势，甚至还有些睥睨一切。,天下长宁,第一章山里有座泥菩萨
可都才二十来岁的年纪脸上依然还有偶尔流露出来的稚嫩，以及眼神里小心翼翼藏起来的茫然和担忧。,天下长宁,第一章山里有座泥菩萨
车夫年长，四十岁左右，眉毛上都是冻霜，这让他那双眼睛看起来更像是一双寒潭。,天下长宁,第一章山里有座泥菩萨
“到了。”,天下长宁,第一章山里有座泥菩萨
山脚下有个小村子叫无事村，也许是这村名保佑了这里的百姓们在中原连绵不断的数十年战乱中都平安无事，也许这村名是个封印让这村子里的人一代一代穷困潦倒。,天下长宁,第一章山里有座泥菩萨
无事村里的人已经有几十年没人走出去过，最大的原因简单到只是因为这里无事。,天下长宁,第一章山里有座泥菩萨
马车上下来一个女子，浑身上下没有一件是女人的打扮，穿着一套很厚实的棉衣，一双很厚实的鹿皮靴，戴着一顶同样很厚实的翻毛帽子。,天下长宁,第一章山里有座泥菩萨
所以显得她的脸有些娇小，遮住了大半张脸的毛领也遮住了半壁江山应妩媚，露出来的双眼，则是剩下的半壁江山尽英豪。,天下长宁,第一章山里有座泥菩萨
她有寻常女人少有的英气眉眼，也有那十二名强悍骑士眼神里都没有的淡然和坚定。,天下长宁,第一章山里有座泥菩萨
她看了一眼车夫，又看了看那十二名骑士中的领队。,天下长宁,第一章山里有座泥菩萨
“陆吾，你去，客气些。”,天下长宁,第一章山里有座泥菩萨
年轻冷傲的骑士队正随即跳下战马，大步朝着这个在帝国版图上但似乎注定了永远不会出现在陛下书房里那张巨大舆图上的小村子走去。,天下长宁,第一章山里有座泥菩萨
不远处的土墙上坐着两个看起来雄壮而又呆傻的汉子，一个歪着头看那十二名武装到牙齿的骑士像是看着什么好玩的东西，一个手里拿着个冻萝卜啃的咯嘣咯嘣响，等陆吾走过的时候，那两个家伙就咧开嘴傻笑，露出满嘴黄牙。,天下长宁,第一章山里有座泥菩萨
气质独特的女子缓步走到村口，这个全是木屋篱笆院的小村子外居然有一座显得格格不入的泥塑。,天下长宁,第一章山里有座泥菩萨
做工很粗糙，粗糙的让人觉得还有些用力过猛，似乎是想大声告诉人这泥塑很了不起，偏偏塑造出来的就像个衣衫褴褛也样貌模糊的家伙。,天下长宁,第一章山里有座泥菩萨
他们大概是想塑一位将军出来吧，因为泥塑手里有一杆木头做的长枪。,天下长宁,第一章山里有座泥菩萨
这泥塑就在无事村的风水口上，村子里没人懂风水学说，年纪最大的那位老猎户总说，泥塑会为无事村招惹来大事。,天下长宁,第一章山里有座泥菩萨
没多久，这位老猎户就被请到了村口泥塑旁，村子没有正经的里正，老猎户就是村子里的主事。,天下长宁,第一章山里有座泥菩萨
村民们自然也不懂得威望这两个字是什么意思，但没人不服他。,天下长宁,第一章山里有座泥菩萨
