参数1_文本,书名,章节名称
隐约能看到，那石阶尽头，映现出一座宛如九天仙宫般的大殿轮廓，看不真切！,星武纪元,上架感言
隐约能看到，那石阶尽头，映现出一座宛如九天仙宫般的大殿轮廓，看不真切！,星武纪元,第001章 贫民区的少年
7号贫民区，武馆的合金大门就要关了，学员们一身热汗，依依不舍的走出来。,星武纪元,第001章 贫民区的少年
“训练了三年，拳力才280公斤，看来三天后的选拔考核又没希望了。”,星武纪元,第001章 贫民区的少年
“这不废话吗，选拔考核要500公斤才能通过。”,星武纪元,第001章 贫民区的少年
“唉，武馆三年免费期结束，以后再来训练就要每个月支付300元的会员费了，以我的家境，我爸妈肯定不会同意的。”,星武纪元,第001章 贫民区的少年
“没办法，像咱们这样的普通人，注定成不了武者。”,星武纪元,第001章 贫民区的少年
几个少年满脸颓丧的交谈着。,星武纪元,第001章 贫民区的少年
这时，旁边有人喊道：“快看，秦恒出来了！”,星武纪元,第001章 贫民区的少年
秦恒？,星武纪元,第001章 贫民区的少年
众人循声看去，只见一名衣着朴素，阳光开朗的大男孩从即将关上的武馆大门里钻了出来，脸上满是笑意，直奔街口方向而去。,星武纪元,第001章 贫民区的少年
“秦恒，什么事情这么高兴啊？”有人忍不住问道。,星武纪元,第001章 贫民区的少年
秦恒笑说道：“刚刚用旧机器测了下拳力，544公斤。”,星武纪元,第001章 贫民区的少年
“我去！你是怪物啊！比我猛了将近一倍！”,星武纪元,第001章 贫民区的少年
周围的人大吃一惊。,星武纪元,第001章 贫民区的少年
旋即反应过来：“这个成绩，三天后的准武者考核稳过了啊！”,星武纪元,第001章 贫民区的少年
准武者考核每年一次，通常来说只要拳力达到500公斤，年龄小于20岁的都能通过。,星武纪元,第001章 贫民区的少年
秦恒才十七岁，完全符合条件。,星武纪元,第001章 贫民区的少年
不过他还是谦虚的说道：“还不一定呢，到时候要做全面体检、家世核查，全都通过了才能成为准武者，成为四大武馆正式弟子。”,星武纪元,第001章 贫民区的少年
众人莞尔。,星武纪元,第001章 贫民区的少年
“秦恒你真是太谦虚了。”,星武纪元,第001章 贫民区的少年
“全面体检和家世核查肯定没难度，只要不是身患绝症、三代之内有叛军关系的，都能通过。”,星武纪元,第001章 贫民区的少年
“咱们贫民区的人，哪有机会接触叛军？”,星武纪元,第001章 贫民区的少年
秦恒神色愉悦，心里也知道，自己这次考核肯定能过，马上就能成为一名准武者。,星武纪元,第001章 贫民区的少年
到时候不仅爸妈可以住上好一点的房子，还有……,星武纪元,第001章 贫民区的少年
心中闪过一张甜美的笑脸，他心情愉悦，和武馆同学挥手道别，加快步伐，往街口的方向跑去。,星武纪元,第001章 贫民区的少年
不一会儿，秦恒来到一家饮品店的门口。,星武纪元,第001章 贫民区的少年
店名叫做霜雪城，仅一街之隔，对面不远就是新城区。,星武纪元,第001章 贫民区的少年
在贫民区，奶茶果茶属于轻奢饮品，很少有人能够天天喝，都是遇到好事，或者约会的时候才舍得买一杯。,星武纪元,第001章 贫民区的少年
所以这边的顾客，经常是对街过来的新城区有钱人。,星武纪元,第001章 贫民区的少年
当然，秦恒也是天天来这里，不为喝奶茶，只是想见一个人。,星武纪元,第001章 贫民区的少年
“秦恒，你来了。”霜雪城的店员看到他，熟络的打了个招呼。,星武纪元,第001章 贫民区的少年
然后对着后厨喊道：“凌雪，你老公来看你了。”,星武纪元,第001章 贫民区的少年
“呃，我们还没结婚……”,星武纪元,第001章 贫民区的少年
秦恒想解释一下。,星武纪元,第001章 贫民区的少年
下一秒，就看到一名身材娇小的少女掀开门帘走了出来，欣喜的望向自己。,星武纪元,第001章 贫民区的少年
方凌雪，见到秦恒展颜一笑：“训练结束了？今天感觉怎么样？”,星武纪元,第001章 贫民区的少年
秦恒被她笑容感染，本就愉悦的心情愈发欢快，回答道：“今天教官用老旧的测试机器给我试了一下，544公斤，合格！”,星武纪元,第001章 贫民区的少年
“哇！544公斤！比上次多了整整60公斤，这才不到两个月，秦恒你也太厉害了吧！”方凌雪惊呼道，亮晶晶的眼里写满惊讶与喜悦。,星武纪元,第001章 贫民区的少年
秦恒看她咋咋呼呼的可爱模样，心下一软，忍不住说道：“多亏了你一直帮我养家，让我有时间去训练，否则的话我恐怕还差得远呢。”,星武纪元,第001章 贫民区的少年
对方凌雪，他的感激甚至胜过感情。,星武纪元,第001章 贫民区的少年
秦恒的父母都是贫民区的杂工，领工让去哪里干活就去哪里。,星武纪元,第001章 贫民区的少年
四年前，两人在清理一处地下排污管道时，意外发生了坍塌事故，虽然人救了下来，但却落了个残废的下场，无法再务工赚钱。,星武纪元,第001章 贫民区的少年
基地市政府每个月给200元的补贴，无法撑起三口之家的开销，所以从四年前开始，秦恒就放下了学业，四处打零工补贴家用。,星武纪元,第001章 贫民区的少年
原本他以为自己这辈子也就这样了，没想到，这一切却随着方凌雪的出现而改变。,星武纪元,第001章 贫民区的少年
方凌雪住在7号贫民区的另一边，两人在打零工的时候相识，因为是同龄，所以很快成为朋友。,星武纪元,第001章 贫民区的少年
接触过几次之后，有天，方凌雪告诉了他一个好消息。,星武纪元,第001章 贫民区的少年
街口新开的奶茶店“霜雪城”老板看她活泼可爱，招人喜欢，打算以每月900元的高薪雇佣她为店员。,星武纪元,第001章 贫民区的少年
秦恒起初以为她有了稳定的工作，以后不会再和自己一样打零工了，朋友关系也将中断。,星武纪元,第001章 贫民区的少年
可没想到！,星武纪元,第001章 贫民区的少年
方凌雪居然对他说：“秦恒，现在我一个月可以赚900块了，这么多钱根本就花不完。要不我养你吧，你腾出时间去武馆报个名，说不定努努力就成准武者了呢？”,星武纪元,第001章 贫民区的少年
秦恒当时就愣住了，问她：“为什么？”,星武纪元,第001章 贫民区的少年
方凌雪理所当然的道：“哪有为什么？我一个人一个月花两三百就够了，剩下那么多钱也没地方去。我就你一个朋友，现在帮了你，以后你要是成了武者，别忘记我的好就行。”,星武纪元,第001章 贫民区的少年
武馆，武者。,星武纪元,第001章 贫民区的少年
这是她的建议，秦恒听从了她的建议。,星武纪元,第001章 贫民区的少年
这个世界，武者是特殊的一群人，他们实力强大，在荒野区与怪兽搏斗，抛头颅洒热血，保卫人类家园。,星武纪元,第001章 贫民区的少年
自然，也因此享有诸多的特权。,星武纪元,第001章 贫民区的少年
试炼武馆，是政府开设的公益组织，免费提供场地、设备、教练，让所有适龄的孩童、少年，可以获得指导。,星武纪元,第001章 贫民区的少年
只要在3年时间内达到准武者考核的标准，就可以被“四大武馆”吸纳为会员，从此身份蜕变，不再是底层贫民。,星武纪元,第001章 贫民区的少年
但是短短三年时间，想要练出500公斤的拳力，绝非容易的事。,星武纪元,第001章 贫民区的少年
大多数贫民区的孩子都要做帮工，时间不那么充裕，再加上长期营养不良，吃不到肉，300公斤大关都难以跨越。,星武纪元,第001章 贫民区的少年
秦恒是幸运的人。,星武纪元,第001章 贫民区的少年
方凌雪不只是在帮他养家，还把多出来的钱给他买训练餐、营养餐，让他的身体得到了贫民区孩子得不到的滋养，这才有了如今的成绩。,星武纪元,第001章 贫民区的少年
可以说，是方凌雪成就了他！,星武纪元,第001章 贫民区的少年
遇见这个女孩，是他这辈子最幸运的事！,星武纪元,第001章 贫民区的少年
不过……,星武纪元,第001章 贫民区的少年
这种事情心里想想就好了，当面说出来，落在方凌雪的耳朵里，却是有些矫情了。,星武纪元,第001章 贫民区的少年
方凌雪莞尔道：“别说这些没用的，既然今天心情这么好，那你请我喝一杯怎么样？”,星武纪元,第001章 贫民区的少年
“好！你想喝什么？”秦恒果断点头。,星武纪元,第001章 贫民区的少年
旋即尴尬的想起，自己身上的钱，还是她给的……,星武纪元,第001章 贫民区的少年
方凌雪：“当然是橘子水咯，又实惠又能补充身体所需的维生素。”,星武纪元,第001章 贫民区的少年
说着就自己动手做了起来。,星武纪元,第001章 贫民区的少年
她虽然是店员，但果茶也不是想喝就能喝，每一单都要记录，否则被老板发现了会很严重。,星武纪元,第001章 贫民区的少年
很快，方凌雪做好了两杯冰爽的橘子水。,星武纪元,第001章 贫民区的少年
“承惠，1元。”她将两杯都递给秦恒。,星武纪元,第001章 贫民区的少年
秦恒递给她一元纸币，然后又将其中一杯给了她。,星武纪元,第001章 贫民区的少年
方凌雪用吸管吸了一大口酸甜冰霜的果茶，发出满足的声音，对秦恒道：“别傻站着呀，进来坐一会儿。”,星武纪元,第001章 贫民区的少年
“嗯。”秦恒点点头，两人在给客人使用的长椅上并排而坐。,星武纪元,第001章 贫民区的少年
另一位店员于玲玲见状不禁发出感慨：“你们真是让人羡慕的一对……”,星武纪元,第001章 贫民区的少年
秦恒心里暖暖的，同时也有点尴尬，说道：“羡慕什么，凌雪她那么辛苦，我却什么也没付出……”,星武纪元,第001章 贫民区的少年
于玲玲：“可是你马上就要成为准武者了，以后加入四大武馆，月薪好几千呢！”,星武纪元,第001章 贫民区的少年
“呐，我这个就叫投资未来。”方凌雪笑了笑，对于玲玲打趣道：“玲玲姐，要不你也去包养一个潜力少年，等他成了准武者，就可以反过来养你了。”,星武纪元,第001章 贫民区的少年
于玲玲脸色一苦：“我不行的，我家里还三个弟弟两个妹妹要养呢，爸妈都走了，我自己生活都拮据，哪里还有闲钱去投资别人？”,星武纪元,第001章 贫民区的少年
秦恒和方凌雪闻言默然。,星武纪元,第001章 贫民区的少年
贫民区的人，活着已是不易，许多人都会在务工的过程中受到损伤甚至失去性命。,星武纪元,第001章 贫民区的少年
像他们这样的，已经很幸福了。,星武纪元,第001章 贫民区的少年
于玲玲不再说话，给了小情侣私人空间。,星武纪元,第001章 贫民区的少年
秦恒和方凌雪聊着今天发生的趣事，谈天的过程中，秦恒一直看着方凌雪。,星武纪元,第001章 贫民区的少年
这位少女天真烂漫，娇俏可爱，真是上苍派来拯救他的天使……,星武纪元,第001章 贫民区的少年
想到自己终于快要成为准武者，很快就能加入四大武馆，拥有撑起一个家庭的经济能力，秦恒忍不住开口：“凌雪……我们结婚吧？”,星武纪元,第001章 贫民区的少年
【阔别已久，终于发新书了。新书上路，欢迎新老书友前来捧场，有免费票的投起来！老作者创作字数过千万，更新稳定，放心追更（每日追读可以提高作品数据，影响作品推荐，不忙的话就每天来看看吧，拜谢了）】,星武纪元,第001章 贫民区的少年
【阔别已久，终于发新书了。新书上路，欢迎新老书友前来捧场，有免费票的投起来！老作者创作字数过千万，更新稳定，放心追更（每日追读可以提高作品数据，影响作品推荐，不忙的话就每天来看看吧，拜谢了）】,星武纪元,第002章 未来充满希望
这个年代，只要年满十八岁就能结婚了。,星武纪元,第002章 未来充满希望
“呃……啊？”,星武纪元,第002章 未来充满希望
方凌雪愣了一下，脸上一红：“聊得好好的，怎么忽然说起这个？”,星武纪元,第002章 未来充满希望
秦恒目光坚定：“我想娶你！”,星武纪元,第002章 未来充满希望
方凌雪羞赧了一下，旋即摇头道：“不行，现在结婚会影响你的前程。准武者要把精力都花在训练上面，直到成为真正的武者，才算是有所成就。你可不要那么快就骄傲自满，武者修炼之路，才刚刚开始呢。”,星武纪元,第002章 未来充满希望
“这……”,星武纪元,第002章 未来充满希望
秦恒有些意外。,星武纪元,第002章 未来充满希望
本以为她会开开心心的答应，没想到得到的居然是这样的答复。,星武纪元,第002章 未来充满希望
“那我们什么时候……”,星武纪元,第002章 未来充满希望
他问道。,星武纪元,第002章 未来充满希望
方凌雪一笑：“等你拳力达到1000公斤，我也年满十八周岁，咱们就去领证！”,星武纪元,第002章 未来充满希望
一吨拳力，是正式武者的标准。,星武纪元,第002章 未来充满希望
秦恒撇了撇嘴，心道这还不知要多久呢。,星武纪元,第002章 未来充满希望
不过方凌雪也是为了他着想，他只能点点头：“好吧，那我接着努力，先把三天后的考核通过，然后加入四大武馆，争取早点达到你的要求！”,星武纪元,第002章 未来充满希望
“说到这个……”,星武纪元,第002章 未来充满希望
方凌雪问他：“你想好要加入四大武馆的哪一个了吗？”,星武纪元,第002章 未来充满希望
只要准武者考核通过，就能立即填报意向，四大武馆任选其二作为志愿目标，然后由武馆选择是否接受。,星武纪元,第002章 未来充满希望
通常来说第一志愿就会入选，极少出现拒绝的情况。,星武纪元,第002章 未来充满希望
哪怕第一志愿都拒绝了，第二志愿也必须录取，总之不可能落选。,星武纪元,第002章 未来充满希望
秦恒回道：“这个问题我最近也在考虑，四大武馆各有特色，有些不好抉择。要不……你帮我参谋参谋？”,星武纪元,第002章 未来充满希望
所谓四大武馆，分别是：天道武馆、龙神武馆、战神武馆、英雄武馆。,星武纪元,第002章 未来充满希望
四家武馆都是人类的守护者，排名不分先后，家喻户晓。,星武纪元,第002章 未来充满希望
方凌雪提议道：“战神武馆和英雄武馆的馆主都是外国人，还是从天道武馆和龙神武馆里面二选一吧。”,星武纪元,第002章 未来充满希望
秦恒：“我也是这么想的。不过这二选一也很难选啊，天道武馆准武者月薪5000，每月有两天假期可以回家。龙神武馆月薪只有3500，但是离我家近，每天都可以回来。”,星武纪元,第002章 未来充满希望
月薪差1500，可不是小数目，够贫民区普通家庭两个月的开销了。,星武纪元,第002章 未来充满希望
方凌雪拍了一下他的头：“笨蛋，还有什么可犹豫的，肯定选钱多的啊！”,星武纪元,第002章 未来充满希望
“可是天道武馆太远了，我回不了家，我爸妈怎么办？”秦恒挠了挠头。,星武纪元,第002章 未来充满希望
方凌雪：“这不是还有我么，我可以替你照顾他们！再说了，你月薪5000，可以拿出500雇人照顾叔叔阿姨啊。自己每个月依然有2天假期，而且平时也不用总往家里跑耽误修炼的时间，怎么看都是天道武馆更合适！”,星武纪元,第002章 未来充满希望
秦恒一想，好像有道理的样子。,星武纪元,第002章 未来充满希望
唉，穷久了，居然没想到有钱以后可以雇人照顾爸妈这种事情！,星武纪元,第002章 未来充满希望
“凌雪，还是你聪明，我太笨了。”秦恒傻笑道。,星武纪元,第002章 未来充满希望
方凌雪嘴角一弯：“你是练功练傻了，脑子里都在长肌肉。”,星武纪元,第002章 未来充满希望
旋即起身道：“笨蛋秦恒，我要下班了，你也回家去吧，咱们明天见。”,星武纪元,第002章 未来充满希望
“哦，好吧……”,星武纪元,第002章 未来充满希望
秦恒喝完杯子里的橘子水，有些依依不舍的和她分开。,星武纪元,第002章 未来充满希望
……,星武纪元,第002章 未来充满希望
秦恒回家路上，顺道去菜市场，花5元钱买了一小块猪肉和几根蒜苗。,星武纪元,第002章 未来充满希望
刚到家，坐在轮椅上的老爸秦子明就皱眉道：“小恒，你怎么买肉了？小雪赚钱不容易，别老是乱花她的钱。”,星武纪元,第002章 未来充满希望
