参数1_文本,书名,章节名称
,万仙来朝,第1章 灵堂还魂
陆家，灵堂。,万仙来朝,第1章 灵堂还魂
一口棺材内。,万仙来朝,第1章 灵堂还魂
陆夜胸腔急剧起伏，身体慢慢有了知觉，意识到自己的神魂已经从域外战场离开，重返肉身。,万仙来朝,第1章 灵堂还魂
“各位前辈，所有殒命战场的同袍，我陆夜必会再去域外战场走一遭！”,万仙来朝,第1章 灵堂还魂
“到那时，我必倾尽所有，挽天倾、补天裂！带你们的英魂回家！”,万仙来朝,第1章 灵堂还魂
“另外……”,万仙来朝,第1章 灵堂还魂
陆夜眼眸深处恨意汹涌，“我还要跟那些封死退路，抛弃我们的杂碎，讨一个说法！”,万仙来朝,第1章 灵堂还魂
在他右手掌心纹路中，悄然浮现一幅神秘图案。,万仙来朝,第1章 灵堂还魂
一把道剑虚影，镇压在九座混沌牢狱之上！,万仙来朝,第1章 灵堂还魂
这是陆夜身上最大的秘密，被称作“九狱剑图”。,万仙来朝,第1章 灵堂还魂
三年前，他就是因为九狱剑图，以神魂的方式进入域外战场。,万仙来朝,第1章 灵堂还魂
这是一段不可思议的经历。,万仙来朝,第1章 灵堂还魂
此刻想起，犹似在做梦。,万仙来朝,第1章 灵堂还魂
“还好，那些祖师遗物、嘱托以及我的身份铭牌都还在，绝不是做梦！”,万仙来朝,第1章 灵堂还魂
陆夜心中喃喃。,万仙来朝,第1章 灵堂还魂
在他神魂中，一块陈旧铭牌浮现。,万仙来朝,第1章 灵堂还魂
姓名：陆夜。,万仙来朝,第1章 灵堂还魂
年龄：十四。,万仙来朝,第1章 灵堂还魂
身份：天河郡陆氏宗族嫡系后裔。,万仙来朝,第1章 灵堂还魂
修为：修行第一境，引灵境。,万仙来朝,第1章 灵堂还魂
担任职务：斥候！,万仙来朝,第1章 灵堂还魂
这是三年前陆夜的神魂进入域外战场时，所领取的一块铭牌，一直携带在身上。,万仙来朝,第1章 灵堂还魂
“嗯？”,万仙来朝,第1章 灵堂还魂
陆夜正欲坐起身来，忽地察觉到不对劲。,万仙来朝,第1章 灵堂还魂
“我这是……在棺材里？！”,万仙来朝,第1章 灵堂还魂
还不等想明白，一阵念诵悼词的悲恸声音在外边响起：,万仙来朝,第1章 灵堂还魂
“陆伯崖，宗族太上大长老，金台境修为，贪狼关一役中战死，为国牺牲！”,万仙来朝,第1章 灵堂还魂
“陆叔云，宗族太上二长老，金台境修为，贪狼关一役中战死，为国牺牲！”,万仙来朝,第1章 灵堂还魂
“陆长青……”,万仙来朝,第1章 灵堂还魂
……足足十八个死讯一一公布！,万仙来朝,第1章 灵堂还魂
爷爷战死，为国牺牲！？,万仙来朝,第1章 灵堂还魂
在听到第一个死讯时，陆夜便如遭雷击。,万仙来朝,第1章 灵堂还魂
直至听完足足十八个死讯，陆夜的心被狠狠攥住！,万仙来朝,第1章 灵堂还魂
陆家那些老一辈，怎会全都战死？,万仙来朝,第1章 灵堂还魂
陆夜努力让自己冷静，扩散感知力量，一幕灵堂祭奠的景象随之映现——,万仙来朝,第1章 灵堂还魂
灵堂外，十九具棺材并列一排。,万仙来朝,第1章 灵堂还魂
灵堂内，供桌上摆设着新添的十九个灵位。,万仙来朝,第1章 灵堂还魂
雪白的帷布垂挂灵堂四周，一个巨大的黑色“奠”字摆在中央。,万仙来朝,第1章 灵堂还魂
陆家所有族人披麻戴孝，跪伏在地。,万仙来朝,第1章 灵堂还魂
香烛燃烧，纸钱飞洒。,万仙来朝,第1章 灵堂还魂
